fips,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share
47027,7592,32.1,39572,0.0555,0.123,0.0773
47029,36186,82.97,45110,0.0624,0.1173,0.0157
47031,58080,135.4,57424,0.0456,0.2333,0.0102
47033,13955,52.56,59136,0.0376,0.1553,0.0364
47035,61552,90.34,56002,0.0568,0.181,0.0253
47037,709786,1409.16,71863,0.0458,0.4598,0.002
47039,11483,34.39,48466,0.079,0.1563,0.0253
47041,20209,66.39,46907,0.0504,0.204,0.032
47043,54563,111.38,68492,0.0378,0.1931,0.0082
47045,36818,71.86,53150,0.045,0.2162,0.0163
47047,42228,59.92,81074,0.0535,0.2567,0.0153
47049,18642,37.39,47884,0.0527,0.1632,0.0763
47051,42980,77.51,57933,0.0263,0.218,0.0172
47053,50455,83.71,55455,0.0542,0.1854,0.0271
47055,30317,49.62,56877,0.0515,0.1894,0.0297
47057,23648,84.28,47098,0.0576,0.1409,0.0246
47059,70399,113.15,51975,0.0537,0.1798,0.0161
47061,13550,37.59,47948,0.0629,0.1355,0.0258
47063,64531,400.35,49656,0.0655,0.1884,0.0047
47065,367193,677.27,69069,0.0438,0.3555,0.0046
47067,6726,30.25,31809,0.1005,0.0988,0.0206
47069,25519,38.22,43566,0.1284,0.1048,0.0208
47071,26824,46.45,46902,0.0328,0.158,0.0205
47073,57107,117.25,53647,0.0858,0.1677,0.0079
47075,17806,33.4,44890,0.0851,0.1216,0.0321
47077,27845,53.55,51576,0.0537,0.1384,0.0229
47079,32305,57.49,48025,0.0404,0.1902,0.0343
47081,24996,40.81,54669,0.0372,0.1244,0.0264
47083,8253,41.2,51544,0.0422,0.1141,0.0602
47085,19032,35.86,54185,0.102,0.1687,0.02
47087,11730,37.99,42357,0.0718,0.1392,0.0204
47089,55017,200.01,60393,0.0544,0.2108,0.0172
47091,17982,60.25,47571,0.0436,0.1494,0.027
47093,481406,947.03,68580,0.0381,0.3915,0.0036
47095,6898,41.61,32064,0.0696,0.1083,0.035
47097,25171,53.34,46702,0.0607,0.1043,0.0223
47099,44377,71.91,51038,0.0633,0.1564,0.0357
47101,12637,44.8,44613,0.0524,0.0933,0.021
47103,35365,62.01,61374,0.043,0.1932,0.0355
47105,55507,242.1,75008,0.0295,0.2835,0.0282
47107,53532,124.46,57982,0.053,0.1741,0.0122
47109,25895,46.01,46920,0.0616,0.1146,0.0224
47111,25365,82.58,51215,0.0359,0.0987,0.0333
47113,98644,177.04,55280,0.0744,0.2593,0.0107
47115,28852,57.91,58139,0.057,0.1515,0.0113
47117,34567,92.07,65325,0.0583,0.2087,0.0149
47119,102002,166.36,71500,0.025,0.2585,0.0045
47121,12839,65.8,59434,0.0745,0.115,0.0166
47123,46489,73.12,52123,0.0659,0.1562,0.0201
47125,222305,412.31,67890,0.0606,0.3036,0.0051
47127,6558,50.75,69250,0.0417,0.2317,0.0199
47129,21124,40.45,51971,0.0838,0.1247,0.0097
47131,30670,56.29,50638,0.0498,0.1722,0.0231
47133,22576,52.08,46580,0.0347,0.1389,0.0303
47135,8432,20.33,55978,0.1093,0.1072,0.0216
47137,5042,30.94,44317,0.0451,0.1821,0.0088
47139,17620,40.54,53775,0.0781,0.1332,0.0214
47141,80157,199.84,54371,0.0453,0.2757,0.0095
47143,33031,104.7,55568,0.0791,0.171,0.0218
47145,53777,149.06,66460,0.049,0.2189,0.0076
47147,73297,153.88,74440,0.0379,0.2107,0.0135
47149,343727,555.06,78291,0.0394,0.3339,0.0043
47151,21917,41.17,39744,0.0962,0.1025,0.0224
47153,16065,60.43,53038,0.0331,0.1858,0.0178
47155,98455,166.17,60103,0.0354,0.2012,0.005
47157,926440,1218.11,59621,0.0734,0.3379,0.0025
47159,20034,63.74,57677,0.0346,0.169,0.0277
47161,13724,29.85,57257,0.0377,0.168,0.0223
47163,158722,383.9,54357,0.0619,0.2631,0.0054
47165,196845,371.79,81883,0.0349,0.3123,0.0051
47167,61116,134.14,70674,0.0541,0.1964,0.0138
47169,11596,101.42,62018,0.0077,0.0976,0.0041
47171,17845,95.91,49855,0.0543,0.1723,0.0022
47173,19860,88.83,57094,0.0571,0.1308,0.0114
47175,6182,22.61,44730,0.0408,0.102,0.056
47177,41163,95.14,52948,0.0389,0.1396,0.0373
47179,133282,408.23,58507,0.0496,0.3337,0.0056
47181,16325,22.24,49360,0.0459,0.1215,0.0443
47183,32946,56.77,47769,0.0399,0.2011,0.0308
47185,27420,72.79,48220,0.0541,0.1354,0.0121
47187,248897,427.03,125943,0.0211,0.6199,0.004
47189,149096,261.17,89462,0.0373,0.3674,0.0033
48001,58077,54.65,57445,0.0395,0.1311,0.0564
48003,18362,12.24,86458,0.0272,0.197,0.2159
48005,86608,108.55,57055,0.0595,0.1865,0.033
48007,24048,95.4,58168,0.0435,0.2417,0.0427
48009,8649,9.58,69954,0.0306,0.2517,0.1041
48011,1912,2.1,70417,0.0024,0.2592,0.1198
48013,49403,40.51,67442,0.0641,0.1453,0.0888
48015,30406,47.03,73556,0.0381,0.2413,0.0436
48017,6902,8.35,69830,0.0213,0.1534,0.179
48019,21182,26.78,70965,0.0665,0.2734,0.0426
48021,98435,110.82,80151,0.0435,0.2305,0.0226
48023,3475,4.01,52716,0.0113,0.2326,0.145
48025,30977,35.19,50283,0.064,0.115,0.0739
48027,372821,353.78,62858,0.0768,0.2677,0.0118
48029,2014059,1623.82,67275,0.0553,0.3043,0.0103
48031,11608,16.37,79717,0.0391,0.3062,0.0613
48033,686,0.76,80625,0.0176,0.3941,0.3835
48035,18404,18.72,63868,0.0394,0.1897,0.0579
48037,92747,104.81,56628,0.0397,0.2225,0.0198
48039,374600,274.77,91972,0.0464,0.3141,0.0182
48041,234548,400.16,57562,0.0456,0.432,0.0171
48043,9454,1.53,47747,0.0305,0.477,0.0532
48045,1290,1.43,35446,0.0331,0.1575,0.1774
48047,7059,7.48,30566,0.0205,0.1911,0.0824
48049,38159,40.4,53792,0.0378,0.1989,0.0446
48051,17958,27.25,71745,0.0376,0.2246,0.1084
48053,49684,49.94,71482,0.0338,0.2812,0.0344
48055,46141,84.73,66779,0.0242,0.1669,0.0353
48057,20127,39.7,62267,0.0339,0.1621,0.04
48059,13869,15.42,63906,0.0478,0.2287,0.0839
48061,421854,473.08,47435,0.0571,0.1947,0.0182
48063,12543,64.04,53968,0.0541,0.2073,0.0274
48065,5801,6.3,83199,0.0187,0.2522,0.1045
48067,28637,30.56,54303,0.0716,0.1722,0.0386
48069,7381,8.25,59886,0.0359,0.1949,0.1823
48071,47037,78.78,106103,0.0753,0.2279,0.0235
48073,50824,48.27,56971,0.0578,0.1617,0.0709
48075,6781,9.74,56063,0.0865,0.1464,0.1812
48077,10290,9.45,75227,0.0182,0.2324,0.1186
48079,2529,3.26,41597,0.0712,0.0853,0.2152
48081,3305,3.63,40230,0.0304,0.195,0.0492
48083,7808,6.18,51034,0.0626,0.2065,0.0869
48085,1079153,1282.79,113255,0.0423,0.5429,0.007
48087,2865,3.12,52045,0.0283,0.252,0.1034
48089,20582,21.43,63352,0.0574,0.2217,0.0968
48091,165201,295.25,93744,0.0365,0.4054,0.0133
48093,13651,14.56,57383,0.0734,0.1888,0.1022
48095,3235,3.29,55750,0.0225,0.1156,0.0873
48097,41860,47.85,66374,0.039,0.2327,0.0628
48099,82927,78.81,63281,0.0712,0.173,0.0253
48101,1647,1.83,47625,0.0414,0.1832,0.2106
48103,4636,5.91,71364,0.0298,0.1565,0.1716
48105,2949,1.05,64103,0.0195,0.1561,0.1816
48107,5157,5.73,50268,0.0486,0.1403,0.1115
48109,2181,0.57,35924,0.1006,0.1049,0.0237
48111,7165,4.77,71969,0.0256,0.143,0.2053
48113,2604053,2982.69,70732,0.0495,0.3388,0.006
48115,12342,13.71,45268,0.0953,0.135,0.166
48117,18585,12.42,51942,0.0215,0.1183,0.1109
48119,5278,20.55,68491,0.0636,0.2148,0.0792
48121,914870,1041.39,104180,0.0403,0.4787,0.0073
48123,19826,21.81,61100,0.0519,0.1406,0.1035
48125,1570,1.74,46638,0.0966,0.2019,0.1205
48127,8672,6.53,27374,0.0474,0.1459,0.1994
48129,3298,3.56,51711,0.0,0.135,0.2071
48131,9960,5.55,50697,0.0839,0.0782,0.2312
48133,17812,19.22,52902,0.0488,0.2286,0.0797
48135,162300,180.76,70566,0.058,0.166,0.1446
48137,1380,0.65,40809,0.0,0.1902,0.158
48139,195509,208.93,93248,0.0394,0.2787,0.0145
48141,863832,852.55,55417,0.0681,0.2501,0.0112
48143,42788,39.5,59654,0.0565,0.3236,0.1217
48145,17013,22.22,45172,0.0738,0.1348,0.061
48147,36052,40.47,65835,0.0474,0.2057,0.059
48149,24564,25.86,72881,0.0346,0.2406,0.0427
48151,3680,4.09,60461,0.0289,0.199,0.1613
48153,5386,5.43,49321,0.0411,0.1603,0.1273
48155,1075,1.53,41944,0.0593,0.1605,0.2205
48157,832607,966.22,109987,0.0522,0.4862,0.0437
48159,10445,36.73,67915,0.0649,0.3072,0.0612
48161,19599,22.33,55902,0.0345,0.1738,0.0585
48163,18151,16.01,56042,0.0257,0.0852,0.1996
48165,21523,14.33,73299,0.034,0.104,0.2104
48167,350801,924.9,83913,0.0592,0.3381,0.0184
48169,5735,6.42,56215,0.0987,0.1328,0.1516
48171,26953,25.47,70162,0.0353,0.3523,0.0604
48173,1068,1.19,112188,0.0128,0.3775,0.4233
48175,7092,8.32,58125,0.0476,0.1784,0.1093
48177,19736,18.5,64255,0.0103,0.1309,0.1229
48179,21272,22.97,54563,0.0541,0.1603,0.0903
48181,137008,146.87,66608,0.0388,0.2282,0.0158
48183,124245,454.48,63811,0.0367,0.2242,0.035
48185,29442,37.39,63484,0.0563,0.1943,0.0642
48187,173828,244.4,88111,0.0427,0.2954,0.0184
48189,32525,32.37,50721,0.0467,0.148,0.0988
48191,2847,3.22,43873,0.0753,0.182,0.175
48193,8244,9.86,54890,0.0279,0.2505,0.0835
48195,5270,5.73,62350,0.0433,0.2958,0.2358
48197,3541,5.09,60455,0.0248,0.1743,0.1017
48199,56576,63.53,70164,0.0461,0.1847,0.0184
48201,4726177,2768.76,70789,0.0639,0.3317,0.0277
