fips,dc_employment,dc_employment_growth
24005,591,1.3268
24009,34,1.4286
24011,11,2.6667
24013,50,1.6316
24015,21,0.75
24017,53,-0.4045
24019,4,-0.9024
24021,464,2.5152
24023,78,-0.2277
24025,123,19.5
24027,743,0.3292
24029,6,0.5
24031,1748,0.5579
24033,486,-0.3017
24035,10,
24041,51,4.6667
24043,161,0.9167
24045,31,
24047,4,0.0
24510,249,0.0163
25001,139,-0.142
25003,51,0.3077
25005,232,3.2963
25009,434,0.1762
25011,5,0.0
25013,70,0.9444
25015,53,12.25
25017,3178,-0.0592
25019,0,
25021,633,0.2412
25023,343,-0.3695
25025,4339,0.3355
25027,445,0.2327
26005,24,0.6
26007,0,
26009,15,0.1538
26015,8,0.3333
26017,48,1.087
26021,30,0.5789
26023,6,0.2
26025,12,1.4
26027,15,0.0
26029,0,
26031,4,-0.2
26033,4,0.0
26035,0,
26037,39,0.3
26041,216,1.0
26043,5,0.6667
26045,517,0.2518
26049,112,0.1789
26055,105,-0.1393
26061,25,0.6667
26063,11,2.6667
26065,575,-0.0464
26069,0,
26073,4,-0.5
26075,7,-0.4167
26077,30,-0.5455
26081,976,0.1703
26087,4,0.3333
26089,12,3.0
26091,8,0.3333
26093,93,0.0333
26097,0,
26099,284,0.449
26103,29,-0.0645
26105,8,-0.1111
26107,6,-0.4545
26109,0,
26111,11,0.5714
26115,28,-0.0968
26117,14,-0.125
26121,26,0.1818
26123,4,0.0
26125,2416,0.1139
26129,0,
26139,50,0.0417
26145,110,0.1224
26147,33,0.65
26155,11,2.6667
26157,9,1.25
26161,1348,0.0515
26163,1580,-0.0447
26165,11,1.75
27001,0,
27003,77,0.4
27005,5,
27007,12,3.0
27009,0,
27011,0,
27013,18,1.5714
27015,3,
27017,0,
27019,31,-0.2051
27021,13,0.0833
27025,3,-0.4
27027,4,0.3333
27033,0,
27035,9,2.0
27037,487,0.2175
27041,48,0.7778
27043,4,
27047,3,-0.5
27049,0,
27051,0,
27053,5446,0.3387
27055,10,0.6667
27057,0,
27059,17,3.25
27061,52,-0.2353
27063,0,
27065,0,
27067,98,-0.0101
27075,27,
27085,0,
27091,0,
27093,0,
27097,3,
27099,54,-0.0357
27103,12,1.4
27109,61,0.9677
27111,10,-0.6667
27115,69,-0.0143
27119,20,1.0
27121,0,
27123,1036,1.9685
27129,3,0.0
27131,9,0.0
27137,74,0.3214
27139,13,3.3333
27141,5,
27143,10,
27145,114,2.1667
27147,9,1.25
27151,0,
27153,0,
27157,0,
27161,0,
