fips,approval_prob,beta_alpha,beta_beta
08099,0.44,17.6,22.4
08101,0.44,17.6,22.4
08103,0.44,17.6,22.4
08105,0.44,17.6,22.4
08107,0.44,17.6,22.4
08109,0.44,17.6,22.4
08111,0.44,17.6,22.4
08113,0.44,17.6,22.4
08115,0.44,17.6,22.4
08117,0.44,17.6,22.4
08119,0.44,17.6,22.4
08121,0.44,17.6,22.4
08123,0.44,17.6,22.4
08125,0.44,17.6,22.4
09011,0.44,17.6,22.4
09110,0.44,17.6,22.4
09120,0.44,17.6,22.4
09130,0.44,17.6,22.4
09140,0.44,17.6,22.4
09150,0.44,17.6,22.4
09160,0.44,17.6,22.4
09170,0.44,17.6,22.4
09180,0.44,17.6,22.4
09190,0.44,17.6,22.4
10001,0.44,17.6,22.4
10003,0.44,17.6,22.4
10005,0.44,17.6,22.4
11001,0.44,17.6,22.4
11002,0.44,17.6,22.4
11003,0.44,17.6,22.4
11004,0.44,17.6,22.4
11005,0.44,17.6,22.4
11006,0.44,17.6,22.4
11007,0.44,17.6,22.4
11008,0.44,17.6,22.4
12001,0.4741,18.97,21.03
12003,0.4378,17.51,22.49
12005,0.386,15.44,24.56
12007,0.446,17.84,22.16
12009,0.4334,17.34,22.66
12011,0.4763,19.05,20.95
12013,0.3286,13.14,26.86
12015,0.373,14.92,25.08
12017,0.3974,15.9,24.1
12019,0.3286,13.14,26.86
12021,0.3286,13.14,26.86
12023,0.3634,14.54,25.46
12027,0.3634,14.54,25.46
12029,0.3634,14.54,25.46
12031,0.4429,17.72,22.28
12033,0.4455,17.82,22.18
12035,0.3841,15.36,24.64
12037,0.3634,14.54,25.46
12039,0.349,13.96,26.04
12041,0.3286,13.14,26.86
12043,0.3634,14.54,25.46
12045,0.3286,13.14,26.86
12047,0.3634,14.54,25.46
12049,0.3634,14.54,25.46
12051,0.3634,14.54,25.46
12053,0.3422,13.69,26.31
12055,0.3326,13.3,26.7
12057,0.5258,21.03,18.97
12059,0.3601,14.4,25.6
12061,0.3765,15.06,24.94
12063,0.3568,14.27,25.73
12065,0.3549,14.2,25.8
12067,0.3634,14.54,25.46
12069,0.4414,17.66,22.34
12071,0.3527,14.11,25.89
12073,0.4562,18.25,21.75
12075,0.3286,13.14,26.86
12077,0.3601,14.4,25.6
12079,0.3286,13.14,26.86
12081,0.4332,17.33,22.67
12083,0.3286,13.14,26.86
12085,0.3286,13.14,26.86
12086,0.3701,14.8,25.2
12087,0.3876,15.5,24.5
12089,0.3652,14.61,25.39
12091,0.4591,18.36,21.64
12093,0.3634,14.54,25.46
12095,0.4726,18.9,21.1
12097,0.4447,17.79,22.21
12099,0.4435,17.74,22.26
12101,0.3609,14.43,25.57
12103,0.4347,17.39,22.61
12105,0.3426,13.7,26.3
12107,0.3634,14.54,25.46
12109,0.3286,13.14,26.86
12111,0.3477,13.91,26.09
12113,0.3679,14.72,25.28
12115,0.3286,13.14,26.86
12117,0.3808,15.23,24.77
12119,0.4551,18.21,21.79
12121,0.3634,14.54,25.46
12123,0.4461,17.84,22.16
12125,0.3782,15.13,24.87
12127,0.3286,13.14,26.86
12129,0.4404,17.62,22.38
12131,0.527,21.08,18.92
12133,0.4445,17.78,22.22
13001,0.3168,12.67,27.33
13003,0.313,12.52,27.48
13005,0.3084,12.34,27.66
13007,0.4988,19.95,20.05
13009,0.6901,27.61,12.39
13011,0.4718,18.87,21.13
13013,0.6442,25.77,14.23
13015,0.4177,16.71,23.29
13017,0.5084,20.34,19.66
13019,0.3319,13.28,26.72
13021,0.7133,28.53,11.47
13023,0.5084,20.34,19.66
13025,0.3168,12.67,27.33
13027,0.4938,19.75,20.25
