fips,county,state,facility_count,total_mw,avg_project_mw,hyperscaler_share,binary_outcome,saturation_count,pushback_flag,state_incentive_score,dc_employment,dc_employment_growth,water_stress_decile,partisan_lean_r,population,population_density,median_household_income,unemployment_rate,pct_college_educated,ag_employment_share,electricity_price,log_population,log_income,log_dc_employment,water_stress_x_density
18141,St. Joseph,IN,2,2200.0,2200.0,0.5,1.0,1,1,0.75,377,1.2848,8.0,0.485287858067905,272388,595.02,61877,0.0482,0.3196,0.0041,13.59,12.514986470650644,11.032919983544124,5.934894195619588,4.76016
18145,Shelby,IN,1,0.0,500.0,0.0,,0,1,0.75,17,4.6667,7.0,0.7308899463399817,44940,109.31,66449,0.033,0.1962,0.0181,13.59,10.713105797383161,11.104205064141391,2.8903717578961645,0.7651700000000001
19001,Adair,IA,1,200.0,200.0,0.0,,0,0,0.75,0,0.0,4.0,0.71751968503937,7479,13.14,63172,0.0389,0.1902,0.1722,13.46,8.919988070968524,11.053632273662666,0.0,0.05256
19049,Dallas,IA,1,200.0,200.0,1.0,1.0,1,0,0.75,710,4.0714,4.0,0.5168840706975556,100367,170.61,99533,0.0304,0.5153,0.0164,13.46,11.516598710336524,11.50825457332033,6.566672429803241,0.68244
19121,Madison,IA,1,0.0,500.0,1.0,,0,0,0.75,0,0.0,3.0,0.6867433716858429,16609,29.61,88110,0.0227,0.2581,0.0617,13.46,9.71776020260734,11.386352662245923,0.0,0.08882999999999999
19153,Polk,IA,2,350.0,175.0,0.5,,1,0,0.75,1163,0.434,3.0,0.4391872062857299,493378,862.25,78827,0.045,0.3892,0.0111,13.46,13.109032920355643,11.275023542680474,7.059617628291383,2.58675
19155,Pottawattamie,IA,1,200.0,200.0,0.0,,1,0,0.75,392,0.6824,5.0,0.5929837202494878,93543,98.34,68718,0.0355,0.2343,0.0189,13.46,11.446187192820155,11.137781004747835,5.973809611869261,0.4917
20121,Miami,KS,1,50.0,50.0,0.0,,0,0,0.75,4,0.3333,4.0,0.687931495852288,34312,59.58,85564,0.0277,0.3055,0.0209,13.57,10.443279570094715,11.357031600011553,1.6094379124341003,0.23832
20209,Wyandotte,KS,1,600.0,600.0,0.0,,0,1,0.75,19,-0.8984,3.0,0.372850875459468,167989,1107.83,57771,0.0573,0.1999,0.0075,13.57,12.03165973280426,10.964259508221057,2.995732273553991,3.3234899999999996
21091,Hancock,KY,1,480.0,480.0,0.0,,0,0,0.75,0,0.0,2.0,0.7284696740772717,9058,48.26,68102,0.0445,0.1742,0.0133,11.57,9.111514017669288,11.12877654403074,0.0,0.09652
21111,Jefferson,KY,1,0.0,500.0,0.0,,0,0,0.75,1282,0.0191,2.0,0.4087933282241119,779232,2046.29,66296,0.0506,0.3611,0.0021,11.57,13.566065381543043,11.101899926281416,7.1569563646156364,4.09258
21167,Mercer,KY,1,645.0,645.0,0.0,,0,1,0.75,0,0.0,3.0,0.7453762351152774,22662,90.99,60728,0.0449,0.2166,0.0353,11.57,10.02848891769893,11.014176622429687,0.0,0.27297
21185,Oldham,KY,2,600.0,600.0,0.0,0.0,0,1,0.75,14,1.3333,2.0,0.602953884829916,67997,363.15,117334,0.0386,0.4535,0.0084,11.57,11.127233571961003,11.672788370356695,2.70805020110221,0.7263
22037,East Feliciana,LA,1,300.0,300.0,0.0,1.0,0,0,0.75,0,0.0,5.0,0.6052076002814919,19452,42.91,64709,0.0547,0.1613,0.0328,11.11,9.875756578797818,11.077671028051311,0.0,0.21455
22083,Richland,LA,1,0.0,500.0,1.0,1.0,0,1,0.75,0,0.0,7.0,0.6911780702708583,20028,36.05,48125,0.068,0.1633,0.0748,11.11,9.904936502301233,10.78157785059498,0.0,0.25234999999999996
22125,West Feliciana,LA,1,245.0,245.0,0.0,,0,0,0.75,0,0.0,1.0,0.6529627163781625,15358,38.08,71985,0.0895,0.2116,0.0073,11.11,9.639456900415627,11.184226934646976,0.0,0.038079999999999996
24017,Charles,MD,2,1000.0,500.0,0.0,,0,1,0.75,53,-0.4045,3.0,0.2852700490998363,167035,364.85,116882,0.0489,0.3106,0.0024,14.63,12.025964637029539,11.66892871344631,3.9889840465642745,1.0945500000000001
24021,Frederick,MD,1,264.0,264.0,0.0,,0,1,0.75,464,2.5152,8.0,0.443556295321411,273829,414.52,115724,0.0372,0.4363,0.0105,14.63,12.520262754862726,11.658971965899472,6.142037405587356,3.31616
24031,Montgomery,MD,1,300.0,300.0,0.0,,1,1,0.75,1748,0.5579,4.0,0.2191726711796995,1056910,2143.36,125583,0.0484,0.6003,0.0028,14.63,13.870861060739664,11.740730136366595,7.466799475018602,8.57344
24033,Prince George's,MD,1,820.0,820.0,0.0,0.0,0,1,0.75,486,-0.3017,3.0,0.1119933512656731,957189,1983.2,97935,0.0669,0.3563,0.0022,14.63,13.7717571878243,11.492069483090852,6.18826412308259,5.9496
24510,Baltimore,MD,1,150.0,150.0,0.0,,2,0,0.75,249,0.0163,3.0,0.1221571315074951,584548,7221.45,58349,0.0692,0.349,0.0024,14.63,13.278595888715856,10.974214637714702,5.521460917862246,21.66435
25013,Hampden,MA,1,300.0,300.0,0.0,,0,0,0.5,70,0.9444,4.0,0.4451279681535714,464575,752.96,66619,0.0621,0.2865,0.0056,25.62,13.048880440644513,11.10676011174767,4.2626798770413155,3.0118400000000003
26025,Calhoun,MI,1,0.0,500.0,0.0,,0,0,0.75,12,1.4,6.0,0.5636735289823331,134011,189.75,58191,0.0679,0.2204,0.0186,17.58,11.805684627162291,10.97150316722677,2.5649493574615367,1.1385
26027,Cass,MI,1,0.0,500.0,0.0,1.0,1,0,0.75,15,0.0,1.0,0.6639994258853924,51604,105.29,65183,0.05,0.2117,0.0185,17.58,10.851373846000033,11.084969319026532,2.772588722239781,0.10529000000000001
26073,Isabella,MI,1,1000.0,1000.0,0.0,,0,0,0.75,4,-0.5,9.0,0.5295778304182757,64938,113.39,52638,0.0716,0.3065,0.0241,17.58,11.081203646708584,10.871212568858269,1.6094379124341003,1.02051
26079,Kalkaska,MI,1,1000.0,1000.0,0.0,0.0,0,1,0.75,0,0.0,1.0,0.7068262642033134,17934,32.04,56380,0.046,0.1734,0.0413,17.58,9.794509389966382,10.939887501296903,0.0,0.03204
26081,Kent,MI,2,320.0,320.0,0.0,1.0,0,1,0.75,976,0.1703,1.0,0.4646483124485502,657321,774.29,76247,0.0448,0.3859,0.0074,17.58,13.395929283948664,11.241746464617462,6.884486652042782,0.7742899999999999
26093,Livingston,MI,1,0.0,500.0,0.0,0.0,0,1,0.75,93,0.0333,9.0,0.6134121841059803,194302,343.72,96135,0.0396,0.3814,0.0064,17.58,12.177174075287509,11.473519134591136,4.543294782270004,3.0934800000000005
26125,Oakland,MI,2,625.0,312.5,0.0,1.0,0,1,0.75,2416,0.1139,6.0,0.4375876850372892,1272264,1466.97,92620,0.0477,0.4953,0.0029,17.58,14.056309334517163,11.436271176780604,7.790282380703483,8.80182
26161,Washtenaw,MI,2,1400.0,1400.0,0.0,1.0,0,1,0.75,1348,0.0515,7.0,0.265896685102845,370231,524.4,84245,0.0469,0.5742,0.0051,17.58,12.821885115148124,11.341496369342698,7.207118856207756,3.6708
26163,Wayne,MI,1,1000.0,1000.0,0.0,,0,1,0.75,1580,-0.0447,3.0,0.3372519442248844,1781641,2911.95,57223,0.0897,0.265,0.0029,17.58,14.393045968962648,10.954728669788219,7.3658128372094716,8.73585
27025,Chisago,MN,1,300.0,300.0,0.0,,0,0,0.75,3,-0.4,9.0,0.649174694383415,56927,137.21,97446,0.0373,0.2357,0.0083,14.07,10.949542590465562,11.48706391944388,1.3862943611198906,1.23489
