draw_id,month,fips,builds
59,118,17029,1
59,118,51119,2
59,118,28011,1
59,118,48209,2
59,118,51019,4
59,118,08055,1
59,118,51830,1
59,118,48413,1
59,118,13267,1
59,118,33019,1
59,118,13037,1
59,118,51161,1
59,118,48461,1
59,118,04001,1
59,118,51071,2
59,118,51033,4
59,118,51700,2
59,118,39099,1
59,118,48377,1
59,118,48135,1
59,118,51005,2
59,118,51099,2
59,118,51630,4
59,118,34027,1
59,118,48201,1
59,118,13213,1
59,118,48489,1
59,118,17157,1
59,118,48089,1
59,118,51197,3
59,118,51101,1
59,118,51081,3
59,118,13081,1
59,118,49039,1
59,118,13207,2
59,118,51770,4
59,118,51179,1
59,118,51165,1
59,118,51195,1
59,118,48269,1
59,118,39047,1
59,118,36033,1
59,118,13013,1
59,118,13297,1
59,118,22115,1
59,118,39095,1
59,118,51043,2
59,118,13149,2
59,118,48105,1
59,118,48121,1
59,118,51095,2
59,118,48113,2
59,118,51167,1
59,118,51003,1
59,118,51163,3
59,118,37065,1
59,118,41027,1
59,118,13121,1
59,118,48471,1
59,118,13227,1
59,118,48051,1
59,118,51147,1
59,118,51107,2
59,118,17017,1
59,118,13027,1
59,118,53031,1
59,118,36105,1
59,118,51177,1
59,118,51640,1
59,118,51685,1
59,118,37167,1
59,118,35033,1
59,118,13079,1
59,118,51145,1
59,118,48315,1
59,118,13107,1
59,118,48027,1
59,118,51820,1
59,118,48335,1
59,118,53003,1
59,118,51047,1
59,118,48505,1
59,118,51800,4
59,118,13097,2
59,118,13157,1
59,118,25019,1
59,118,48475,1
59,118,48241,1
59,118,51580,1
59,118,51670,2
59,118,48417,1
59,118,48197,1
59,118,08015,1
59,118,10001,1
59,118,13165,1
59,118,51155,1
59,118,35023,2
59,118,09150,1
59,118,13291,1
59,118,51109,2
59,118,48237,1
59,118,32029,1
59,118,39013,1
59,118,51135,1
59,118,48221,2
59,118,48273,1
59,118,51035,2
59,118,13063,1
59,118,51810,1
59,118,55059,2
59,118,51680,1
59,118,51127,1
59,118,48075,1
59,118,13257,1
59,118,51181,1
59,118,48025,1
59,118,51057,2
59,118,13067,1
59,118,51133,1
59,118,51510,1
59,118,13255,1
59,118,48407,1
59,118,17195,1
59,118,48005,1
59,118,41069,1
59,118,51157,1
59,118,51775,1
59,118,13159,1
59,118,13047,2
59,118,48395,1
59,118,48423,1
59,118,09190,1
59,118,51087,1
59,118,37039,1
59,118,17061,1
59,118,13205,1
59,118,34025,1
59,118,51185,2
59,118,09170,1
59,118,13093,1
59,118,13123,1
59,118,51193,1
59,118,51173,1
59,118,29125,1
59,118,51678,2
59,118,51570,1
59,118,39123,1
59,118,13247,1
59,118,13253,1
59,118,47129,1
59,118,17149,1
59,118,48191,1
59,118,22125,1
59,118,26083,1
59,118,51187,1
59,118,51540,1
59,118,23005,1
59,118,32019,1
59,118,47125,1
59,118,48087,1
59,118,20047,1
59,119,22067,1
59,119,51025,1
59,119,51041,3
59,119,13283,1
59,119,13309,1
59,119,51091,2
59,119,51069,1
59,119,35006,1
59,119,28157,1
59,119,51121,1
59,119,51720,3
59,119,13033,1
59,119,48009,1
59,119,51199,2
59,119,17029,1
59,119,51119,2
59,119,28011,1
59,119,48209,2
59,119,51019,4
59,119,08055,1
59,119,51830,1
59,119,48413,1
59,119,13267,1
59,119,33019,1
59,119,13037,1
59,119,51161,1
59,119,48461,1
59,119,04001,1
59,119,51071,2
59,119,51033,4
59,119,51700,2
59,119,39099,1
59,119,48377,1
59,119,48135,1
59,119,51005,2
59,119,51099,2
59,119,51630,4
59,119,34027,1
59,119,48201,1
59,119,13213,1
59,119,48489,1
59,119,17157,1
59,119,48089,1
59,119,51197,3
59,119,51101,1
59,119,51081,3
59,119,13081,1
59,119,49039,1
59,119,13207,2
59,119,51770,4
59,119,51179,1
59,119,51165,1
59,119,51195,1
59,119,48269,1
59,119,39047,1
59,119,36033,1
59,119,13013,1
59,119,13297,1
59,119,22115,1
59,119,39095,1
59,119,51043,2
59,119,13149,2
59,119,48105,1
59,119,48121,1
59,119,51095,2
59,119,48113,2
59,119,51167,1
59,119,51003,1
59,119,51163,3
59,119,37065,1
59,119,41027,1
59,119,13121,1
59,119,48471,1
59,119,13227,1
59,119,48051,1
59,119,51147,1
59,119,51107,2
59,119,17017,1
59,119,13027,1
59,119,53031,1
59,119,36105,1
59,119,51177,1
59,119,51640,1
59,119,51685,1
59,119,37167,1
59,119,35033,1
59,119,13079,1
59,119,51145,1
59,119,48315,1
59,119,13107,1
59,119,48027,1
59,119,51820,1
59,119,48335,1
59,119,53003,1
59,119,51047,1
59,119,48505,1
59,119,51800,4
59,119,13097,2
59,119,13157,1
59,119,25019,1
59,119,48475,1
59,119,48241,1
59,119,51580,1
59,119,51670,2
59,119,48417,1
59,119,48197,1
59,119,08015,1
59,119,10001,1
59,119,13165,1
59,119,51155,1
59,119,35023,2
59,119,09150,1
59,119,13291,1
59,119,51109,2
59,119,48237,1
59,119,32029,1
59,119,39013,1
59,119,51135,1
59,119,48221,2
59,119,48273,1
59,119,51035,2
59,119,13063,1
59,119,51810,1
59,119,55059,2
59,119,51680,1
59,119,51127,1
59,119,48075,1
59,119,13257,1
59,119,51181,1
59,119,48025,1
59,119,51057,2
59,119,13067,1
59,119,51133,1
59,119,51510,1
59,119,13255,1
59,119,48407,1
59,119,17195,1
59,119,48005,1
59,119,41069,1
59,119,51157,1
59,119,51775,1
59,119,13159,1
59,119,13047,2
59,119,48395,1
59,119,48423,1
59,119,09190,1
59,119,51087,2
59,119,37039,1
59,119,17061,1
59,119,13205,1
59,119,34025,1
59,119,51185,2
59,119,09170,1
59,119,13093,1
59,119,13123,1
59,119,51193,1
59,119,51173,1
59,119,29125,1
59,119,51678,2
59,119,51570,1
59,119,39123,1
59,119,13247,1
59,119,13253,1
59,119,47129,1
59,119,17149,1
59,119,48191,1
59,119,22125,1
59,119,26083,1
