month,year,calendar_month,mean_total_built,p2_5_total_built,p97_5_total_built,mean_cumulative_gw,p2_5_cumulative_gw,p97_5_cumulative_gw,mean_gini,mean_firm_cost_m
18,2027,6,53.2,45.0,62.574999999999974,15.960000000000019,13.50000000000001,18.772500000000015,0.9844712621375256,1576.8683462621068
19,2027,7,56.29,47.475,65.52499999999999,16.887000000000015,14.242500000000012,19.657500000000024,0.9836840343871416,1667.7038063121809
20,2027,8,59.32,49.0,69.0,17.79600000000002,14.700000000000014,20.700000000000028,0.9828831151743693,1758.4603408901746
21,2027,9,62.37,51.95,72.0,18.711000000000023,15.585000000000015,21.60000000000003,0.982064526181082,1846.3965628402489
22,2027,10,65.23,55.0,75.52499999999999,19.569000000000027,16.500000000000018,22.65750000000003,0.9812936617543083,1957.3218139170165
23,2027,11,68.37,58.0,78.0,20.511000000000028,17.40000000000002,23.400000000000034,0.9804571573062453,2043.3265212941715
24,2027,12,71.17,61.0,81.52499999999999,21.351000000000028,18.300000000000022,24.457500000000035,0.9797444869178082,2120.6080997315808
25,2028,1,74.2,64.0,86.0,22.260000000000034,19.200000000000024,25.80000000000004,0.9789739641875037,2210.4633028783114
26,2028,2,77.09,67.0,88.52499999999999,23.127000000000038,20.100000000000026,26.55750000000004,0.9782486170853949,2320.239319721582
27,2028,3,80.13,70.0,90.52499999999999,24.039000000000037,21.00000000000003,27.15750000000004,0.9774595466734365,2412.265560889854
28,2028,4,83.16,71.475,94.0,24.94800000000004,21.44250000000003,28.200000000000045,0.9766689269385027,2516.389278845768
29,2028,5,86.16,75.0,97.57499999999997,25.84800000000004,22.500000000000032,29.27250000000004,0.9758865004403475,2630.472705764043
30,2028,6,89.15,77.0,100.52499999999999,26.74500000000004,23.100000000000033,30.15750000000005,0.9751134651801924,2708.5881377429773
31,2028,7,92.15,80.475,104.0,27.645000000000042,24.142500000000037,31.200000000000053,0.9743660943684479,2786.1598108902226
32,2028,8,95.18,82.475,107.52499999999999,28.554000000000052,24.74250000000004,32.25750000000005,0.9736430646966743,2899.5936556835914
33,2028,9,98.32,86.475,110.0,29.496000000000052,25.94250000000004,33.00000000000004,0.9728984009435122,3009.940624027833
34,2028,10,101.43,89.0,113.0,30.429000000000045,26.700000000000042,33.900000000000034,0.9721244785921431,3096.016392829786
35,2028,11,104.52,89.95,116.0,31.35600000000004,26.985000000000042,34.800000000000026,0.9714235095567524,3205.8180678884964
36,2028,12,107.58,92.475,119.52499999999999,32.274000000000036,27.742500000000046,35.857500000000016,0.9706941671143052,3296.153139470457
37,2029,1,110.65,95.475,124.0,33.19500000000004,28.642500000000048,37.2,0.9699587906206244,3397.0522357853347
38,2029,2,113.51,97.475,127.0,34.053000000000026,29.24250000000005,38.099999999999994,0.9692794075832333,3476.261819715291
39,2029,3,116.69,101.475,131.52499999999998,35.00700000000002,30.442500000000052,39.45749999999998,0.9685289800838071,3562.666131219374
40,2029,4,119.95,104.475,134.0,35.985000000000014,31.342500000000054,40.199999999999974,0.9677761496364582,3660.551186317302
41,2029,5,122.93,107.0,137.52499999999998,36.879000000000005,32.10000000000005,41.257499999999965,0.9670429592141115,3750.9974417325748
42,2029,6,126.18,110.475,140.52499999999998,37.854,33.14250000000004,42.157499999999956,0.9663026678485508,3851.005436562793
43,2029,7,129.26,113.95,144.0,38.777999999999984,34.18500000000003,43.199999999999946,0.9656404306107993,3945.6987747897424
44,2029,8,132.32,117.0,146.52499999999998,39.695999999999984,35.10000000000002,43.95749999999994,0.9649477252950694,4036.0200810625665
45,2029,9,135.16,119.0,148.0,40.54799999999998,35.70000000000002,44.399999999999935,0.964301034328093,4105.32871934061
46,2029,10,137.99,121.95,151.0,41.39699999999996,36.58500000000001,45.299999999999926,0.963718238012867,4174.598189135754
47,2029,11,141.0,123.95,154.52499999999998,42.29999999999996,37.185,46.357499999999916,0.9630988948248783,4270.895492415371
48,2029,12,143.99,128.0,158.04999999999998,43.19699999999996,38.39999999999999,47.4149999999999,0.9624656172987573,4356.6460188251895
49,2030,1,147.04,131.475,161.04999999999998,44.11199999999994,39.44249999999998,48.31499999999989,0.961797551812477,4455.785086950301
50,2030,2,150.03,135.0,164.04999999999998,45.00899999999993,40.49999999999997,49.21499999999988,0.961173018024797,4550.906157628273
51,2030,3,153.02,138.0,167.04999999999998,45.90599999999992,41.39999999999996,50.114999999999874,0.9605710305596833,4650.928633898429
52,2030,4,155.9,140.475,171.0,46.7699999999999,42.142499999999956,51.29999999999987,0.959964343653966,4747.029697093058
53,2030,5,158.51,143.0,173.0,47.552999999999905,42.89999999999995,51.899999999999864,0.9593306274113672,4863.903517420858
54,2030,6,161.67,145.475,176.52499999999998,48.500999999999884,43.64249999999994,52.957499999999854,0.9586939070766184,4989.674567327748
55,2030,7,164.63,148.95,180.0,49.388999999999896,44.68499999999993,53.999999999999844,0.9581620647072332,5083.261083434477
56,2030,8,167.61,151.95,182.0,50.28299999999988,45.58499999999992,54.59999999999984,0.9574783361906148,5176.4467076270275
57,2030,9,170.75,155.475,185.52499999999998,51.224999999999866,46.64249999999991,55.65749999999983,0.9568552932843012,5286.448243689045
58,2030,10,173.74,159.95,188.575,52.12199999999985,47.9849999999999,56.57249999999981,0.9562776793310674,5369.871978431347
59,2030,11,176.74,161.475,191.52499999999998,53.02199999999984,48.442499999999896,57.45749999999981,0.9556499565985282,5460.957234724948
60,2030,12,179.86,166.0,193.52499999999998,53.957999999999856,49.79999999999988,58.057499999999806,0.9550233631360224,5545.550230572416
61,2031,1,182.93,168.475,197.0,54.878999999999834,50.542499999999876,59.099999999999795,0.9544529332920026,5633.102958504609
62,2031,2,185.99,170.475,200.52499999999998,55.79699999999982,51.14249999999987,60.157499999999786,0.9537686932459175,5731.2789210792
63,2031,3,188.89,173.425,204.0,56.666999999999824,52.02749999999986,61.199999999999775,0.9532294781210502,5834.685900975235
64,2031,4,191.77,177.0,207.0,57.53099999999981,53.09999999999985,62.09999999999977,0.9527106440191426,5935.255059431302
65,2031,5,194.89,179.475,210.0,58.4669999999998,53.842499999999845,62.99999999999976,0.9520373696018823,6046.765565983383
66,2031,6,197.91,181.95,212.52499999999998,59.3729999999998,54.58499999999984,63.75749999999975,0.9514829473967726,6134.563409612977
67,2031,7,200.86,184.425,216.52499999999998,60.25799999999978,55.32749999999983,64.95749999999974,0.9508928820067752,6231.317355688994
68,2031,8,203.83,188.0,219.575,61.14899999999978,56.39999999999982,65.87249999999972,0.9503662232521153,6314.361491620394
69,2031,9,206.6,190.475,221.52499999999998,61.979999999999784,57.142499999999814,66.45749999999973,0.9498469104243437,6408.683788716139
70,2031,10,209.59,192.95,225.04999999999998,62.87699999999976,57.884999999999806,67.51499999999972,0.9492836906501491,6499.904839255268
71,2031,11,212.6,196.0,228.52499999999998,63.779999999999745,58.7999999999998,68.5574999999997,0.948746557150791,6580.66059810215
72,2031,12,215.45,199.95,231.52499999999998,64.63499999999975,59.984999999999786,69.4574999999997,0.9482505099256759,6692.778718523445
