total_built,cumulative_gw,gini_coefficient,community_surplus_m,firm_cost_m,total_rejected,infeasible_rate
366,109.79999999999932,0.9215301932932292,3119560.7399999807,10462.099751047455,7,0.1182033096926714
360,107.99999999999933,0.9177379567959967,3068420.399999981,9750.98601342664,10,0.11270983213429256
347,104.09999999999937,0.9287234791255938,2957616.3299999824,9126.561323268354,7,0.10606060606060606
345,103.49999999999937,0.929157875867014,2940569.549999983,12539.850414125063,16,0.11519607843137254
365,109.49999999999932,0.9233841221015862,3111037.349999981,8539.662869668824,14,0.09330143540669857
379,113.69999999999928,0.9263146795739201,3230364.8099999796,12635.105678924283,7,0.12471655328798185
344,103.19999999999938,0.9258236895094372,2932046.1599999825,9655.77718937496,9,0.1175
344,103.19999999999938,0.9314255895086996,2932046.1599999825,11052.223607141417,17,0.11083743842364532
355,106.49999999999935,0.9247584460138567,3025803.449999981,10243.466684570029,11,0.1347517730496454
369,110.6999999999993,0.9233843622927189,3145130.9099999806,11598.372154533776,15,0.09859154929577464
348,104.39999999999937,0.9253402160321678,2966139.719999982,12060.544365234322,14,0.10173697270471464
369,110.6999999999993,0.9259044382388004,3145130.9099999806,10587.59271825737,15,0.12128146453089245
375,112.49999999999929,0.9311191457870811,3196271.24999998,9550.780909382147,10,0.11899313501144165
344,103.19999999999938,0.9274740188377255,2932046.1599999825,14115.13468628011,16,0.10891089108910891
359,107.69999999999933,0.9269237327142121,3059897.0099999807,11925.218925089313,8,0.11990407673860912
368,110.39999999999931,0.9250144789641335,3136607.519999981,15003.809500565007,15,0.0924170616113744
345,103.49999999999937,0.9228588369944428,2940569.549999983,10242.3096565182,20,0.10319410319410319
368,110.39999999999931,0.9218773700685337,3136607.519999981,12821.68821302889,12,0.11832946635730858
359,107.69999999999933,0.932586642071441,3059897.0099999807,10713.101116568067,14,0.12028301886792453
356,106.79999999999934,0.9282064165749047,3034326.8399999817,12906.28476865391,10,0.11594202898550725
360,107.99999999999933,0.9251594601261586,3068420.399999981,11566.022860652447,12,0.1079136690647482
359,107.69999999999933,0.922425209399546,3059897.0099999807,11833.357127444135,16,0.10287081339712918
359,107.69999999999933,0.9286906311096033,3059897.0099999807,10347.009215509499,9,0.1320754716981132
349,104.69999999999936,0.9251170259460904,2974663.1099999826,12476.489255089324,17,0.11380145278450363
359,107.69999999999933,0.9259872765646548,3059897.0099999807,12218.351742645671,13,0.13488372093023257
364,109.19999999999932,0.9227214270030635,3102513.9599999813,11871.48601932236,11,0.11347517730496454
343,102.89999999999938,0.927892266054172,2923522.769999983,13043.820600442948,14,0.1141439205955335
348,104.39999999999937,0.9231510949251032,2966139.719999982,8156.393981452363,19,0.11778846153846154
357,107.09999999999934,0.9300839270056263,3042850.2299999814,11623.654992345324,14,0.09290953545232274
361,108.29999999999933,0.9271792330744233,3076943.789999981,10993.74466873506,15,0.10476190476190476
348,104.39999999999937,0.929844227901907,2966139.719999982,9943.270464584091,8,0.12745098039215685
362,108.59999999999933,0.9232950115035579,3085467.179999981,10811.701676143704,10,0.12470588235294118
357,107.09999999999934,0.9227706306119021,3042850.2299999814,9824.158765830089,14,0.1187648456057007
350,104.99999999999936,0.9219845045534865,2983186.499999982,12736.590018899587,6,0.13170731707317074
350,104.99999999999936,0.9248371165783154,2983186.499999982,14312.997225348972,13,0.12740384615384615
346,103.79999999999937,0.925858298088434,2949092.939999982,9510.867223113859,10,0.10327455919395466
353,105.89999999999935,0.9203609314929169,3008756.669999982,10769.336750809493,13,0.10948905109489052
353,105.89999999999935,0.9253384294286928,3008756.669999982,10822.308999193136,10,0.11893203883495146
363,108.89999999999932,0.9192609426153238,3093990.5699999807,12061.723880216023,9,0.1163895486935867
